Young Age,10
Old Age,15

Event,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15,10,11,12,13,14,15
50 Free,39.94,37.04,35.31,33.06,31.47,30.81,40.74,37.78,36.02,33.73,32.09,31.43,0,0,0,0,0,0,0,0,0,0,0,0
100 Free,1:28.56,1:21.03,1:16.40,1:11.94,1:07.88,1:06.78,1:30.33,1:22.65,1:17.39,1:13.38,1:09.24,1:08.11,0,0,0,0,0,0,0,0,0,0,0,0
200 Free,3:12.17,2:57.12,2:46.70,2:36.00,2:27.36,2:25.30,3:16.01,3:00.66,2:50.03,2:39.12,2:30.31,2:28.20,0,0,0,0,0,0,0,0,0,0,0,0
400 Free,6:48.64,6:15.07,5:50.76,5:30.75,5:11.96,5:08.66,6:56.81,6:22.57,5:57.78,5:37.37,5:18.20,5:14.83,0,0,0,0,0,0,0,0,0,0,0,0
800 Free,12:03.52,12:03.52,12:03.52,11:23.55,10:42.41,10:35.12,12:17.99,12:17.99,12:17.99,11:37.22,10:55.25,10:47.82,2,1,0,0,0,0,2,1,0,0,0,0
1500 Free,20.31.33,20.31.33,20.31.33,20.31.33,20.31.33,20:17.31,20:55.85,20:55.85,20:55.85,20:55.85,20:55.85,20:41.66,4,3,2,1,0,0,4,3,2,1,0,0
100 Back,1:41.29,1:33.19,1:27.40,1:22.14,1:16.94,1:14.86,1:43.32,1:35.05,1:29.15,1:23.78,1:18.48,1:16.36,0,0,0,0,0,0,0,0,0,0,0,0
200 Back,3:38.79,3:19.11,3:07.54,2:57.50,2:44.57,2:42.02,3:43.17,3:23.09,3:11.29,3:01.05,2:47.86,2:45.26,0,0,0,0,0,0,0,0,0,0,0,0
100 Breast,1:54.60,1:47.66,1:41.29,1:33.71,1:28.62,1:27.49,1:56.89,1:49.81,1:43.32,1:35.59,1:30.39,1:29.24,0,0,0,0,0,0,0,0,0,0,0,0
200 Breast,3:36.48,3:36.48,3:36.48,3:22.86,3:10.81,3:10.24,3:40.81,3:40.81,3:40.81,3:26.92,3:14.63,3:14.04,2,1,0,0,0,0,2,1,0,0,0,0
100 Fly,1:47.08,1:36.66,1:29.72,1:23.24,1:16.87,1:15.30,1:49.22,1:38.59,1:31.51,1:24.90,1:18.40,1:16.81,0,0,0,0,0,0,0,0,0,0,0,0
200 Fly,3:23.74,3:23.74,3:23.74,3:09.63,2:54.21,2:51.98,3:27.81,3:27.81,3:27.81,3:13.42,2:57.69,2:55.42,2,1,0,0,0,0,2,1,0,0,0,0
100 IM,1:45.34,,,,,,,,,,,,0,,,,,,,,,,,
200 IM,3:38.79,3:20.27,3:08.69,2:56.40,2:47.97,2:45.40,3:43.17,3:24.28,3:12.47,2:59.93,2:47.97,2:48.70,0,0,0,0,0,0,0,0,0,0,0,0
400 IM,6:37.07,6:37.07,6:37.07,6:15.95,5:56.49,5:46.57,6:45.01,6:45.01,6:45.01,6:23.47,5:56.49,5:53.50,2,1,0,0,0,0,2,1,0,0,0,0
