50 Free,28.61,28.11,27.67,27.36,27.09,29.19,28.67,28.22,27.91,27.63,0,0,0,0,0,0,0,0,0,0
100 Free,1:01.97,1:00.65,59.96,59.17,58.57,1:03.21,1:01.86,1:01.16,1:00.36,59.75,0,0,0,0,0,0,0,0,0,0
200 Free,2:14.21,2:11.66,2:10.47,2:07.60,2:06.31,2:16.90,2:14.29,2:13.90,2:10.16,2:08.84,0,0,0,0,0,0,0,0,0,0
400 Free,4:42.53,4:38.72,4:37.16,4:32.86,4:30.11,4:48.18,4:44.29,4:42.70,4:38.32,4:35.51,0,0,0,0,0,0,0,0,0,0
800 Free,9:51.37,9:42.68,9:36.07,9:25.20,9:19.55,10:03.20,9:54.33,9:48.60,9:36.50,9:30.74,0,0,0,0,0,0,0,0,0,0
1500 Free,18:53.43,18:36.76,18:24.14,18:03.27,17:52.44,19:16.10,18:59.10,18:46.22,18:24.94,18:13.89,0,0,0,0,0,0,0,0,0,0
100 Back,1:09.93,1:08.74,1:07.22,1:06.31,1:05.64,1:11.32,1:10.12,1:08.57,1:07.64,1:06.95,0,0,0,0,0,0,0,0,0,0
200 Back,2:29.98,2:27.03,2:25.49,2:22.20,2:20.77,2:32.98,2:29.98,2:28.40,2:25.04,2:23.58,0,0,0,0,0,0,0,0,0,0
100 Breast,1:20.13,1:19.17,1:18.57,1:18.14,1:17.35,1:21.74,1:20.76,1:20.14,1:19.70,1:18.90,0,0,0,0,0,0,0,0,0,0
200 Breast,2:50.90,2:50.47,2:49.96,2:48.65,2:47.80,2:54.32,2:53.88,2:53.36,2:52.01,2:51.15,0,0,0,0,0,0,0,0,0,0
100 Fly,1:09.75,1:08.67,1:07.62,1:06.74,1:06.06,1:11.15,1:10.04,1:08.97,1:08.07,1:07.38,0,0,0,0,0,0,0,0,0,0
200 Fly,2:35.96,2:35.64,2:34.43,2:28.80,2:27.29,2:39.09,2:38.75,2:37.52,2:31.78,2:30.24,0,0,0,0,0,0,0,0,0,0
200 IM,2:34.34,2:30.06,2:28.52,2:25.62,2:24.15,2:37.43,2:33.07,2:31.49,2:28.53,2:27.03,0,0,0,0,0,0,0,0,0,0
400 IM,5:26.13,5:23.35,5:14.35,5:11.71,5:08.59,5:32.65,5:29.82,5:20.64,5:17.94,5:14.76,0,0,0,0,0,0,0,0,0,0
