Young Age,18,
Old Age,18,
,,
Event,18,18
50 Free,00:24.43,00:24.92
100 Free,00:53.17,00:54.23
200 Free,01:56.03,01:58.35
400 Free,04:08.02,04:12.98
800 Free,08:46.58,08:57.111
1500 Free,16:32.62,16:52.47
50 Back,00:28.01,00:28.57
100 Back,01:00.05,01:01.25
200 Back,02:10.73,02:13.34
50 Breast,00:31.50,00:32.29
100 Breast,01:08.02,01:09.72
200 Breast,02:27.51,02:31.20
50 Fly,00:27.01,00:27.55
100 Fly,00:59.69,01:00.88
200 Fly,02:13.14,02:15.80
100 IM,,
200 IM,02:11.14,02:13.76
400 IM,04:42.59,04:48.24
